Product Name,Sales,Profit
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,7753.039
Hewlett Packard LaserJet 3310 Copier,18839.686,6983.8836
Canon PC1060 Personal Laser Copier,11619.833999999999,4570.9347
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,4094.9766
Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.9461
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,3696.2819999999997
Ibico EPK-21 Electric Binding System,15875.916000000001,3345.2823
Zebra ZM400 Thermal Label Printer,6965.700000000001,3343.536
